Gray, Iain - Snake charming -- the musical Python-Springer (2017) 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Snake Charming_ The Musical Python - Iain Gray
Greek-Ancient 	 264.03  	 Religion/Christian organization, social work & worship/Public worship/The Book Of Common Prayer, And Administration Of The Sacraments And Other Rites And Ceremonies Of The Church, According To The Use Of The United Church Of England And Ireland ; Together With The Psalter, Or Psalms Of David, In Eight Languages ; Namely, English, French, Italian, German, Spanish, Greek, Ancient And Modern, Latin ... [Et Al.] - Church of England
Greek-Script 	 686.218  	 Technology/Manufacture for specific uses/Printing & related activities/Aldus Manutius And The Development Of Greek Script &Amp; Type In The Fifteenth Century - Nicolas Barker
Gullah culture in America 	 975.00496073  	 History & geography/History of North America/Southeastern United States/Gullah Culture In America - Wilbur Cross
Hands-On RESTful API Design Patterns and Best Practices 	 005.3  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Hands-On RESTful API Design Patterns And Best Practices_ Design, Develop, And Deploy Highly Adaptable, Scalable, And Secure RESTful Web APIs - Pethuru Raj, Harihara Subramanian
Hausa 	 787.20966  	 Arts & recreation/Music/Stringed instruments/Fiddling In West Africa_ Touching The Spirit In Fulbe, Hausa, And Dagbamba Cultures - Jacqueline Cogdell DjeDje
Hawaiian 	 996.9  	 History & geography/History of other areas/Other parts of Pacific; Polynesia/Shoal Of Time;_ A History Of The Hawaiian Islands - Gavan Daws
Hebrew-Grammar 	 492.4  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Gesenius' Hebrew Grammar, - Wilhelm Gesenius, E. 1841-1910 Kautzsch, Emil Roediger, A. E. 1861-1931 Cowley
Hebrew-Routledge 	 492.45  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Morphophonemics Of Modern Hebrew (Routledge Revivals) - Noam Chomsky
Hindi in Three months 	 491.4382421  	 Language/Other languages/East Indo-European & Celtic languages/Hindi In Three Months - Mark Allerton
HTML & CSS The Good Parts (Animal Guide) 	 006.74  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/HTML &Amp; CSS_ The Good Parts - Ben Henick
