Niels Lyhne 	 839.8136  	 Literature/German & related literatures/Other Germanic literatures/Niels Lyhne - Tiina Nunnally, M. von 1853-1895 Borch, Hanna Astrup Larsen, J. P. Jacobsen1847-1885  (Jens Peter)
Night and Day 	 823.912  	 Literature/English & Old English literatures/English fiction/Night And Day - Suzanne Raitt, Angelica Garnett, Julia Briggs, Virginia Woolf
Parva1 	 294.544 : Religion/Other religions/Religions of Indic origin/Ath?Ri Mah?Bh?Rata?Diparva Prr?Abhyate_ [Mah?Bh?Rata Med N?Laka??Ha'S Kommentar] : I-II Parvan (?Diparva Og Sa?R?Parva)  	 1 -
Parva2 	 294.5925  	 Religion/Other religions/Religions of Indic origin/Śrībhaviṣyamahāpurāṇam =_ The Bhaviṣyamahāpurāṇam - Rajendra Nath Sharma, Nag Sharan Singh
Pictures and Tears 	 750.11  	 Arts & recreation/Painting/Painting & paintings/Pictures &Amp; Tears_ A History Of People Who Have Cried In Front Of Paintings - James Elkins
Purgatorio 	 851.1  	 Literature/Italian, Romanian & related literatures/Italian poetry/The Divine Comedy Of Dante Alighieri - 1265-1321 Dante Alighieri, Charles Eliot Norton, Henry Wadsworth Longfellow, Henry Francis Cary
Raghuvanca 	 891.238  	 Literature/Other literatures/East Indo-European & Celtic literatures/The Raghuvança,_ The Story Of Raghu'S Line - Kālidāsa
Rama Retold 	 823.91  	 Literature/English & Old English literatures/English fiction/Rama Retold - Aubrey Menen
Screams From the Balcony 	 811.54  	 Literature/American literature in English/American poetry in English/Screams From The Balcony_ Selected Letters, 1960-1970 - Charles Bukowski, Seamus Cooney
Selected Poems of Pablo Neruda 	 861.62  	 Literature/Spanish & Portuguese literatures/Spanish poetry/Selected Poems Of Pablo Neruda - Pablo Neruda
Shadow Train Poems 	 811.54  	 Literature/American literature in English/American poetry in English/Shadow Train_ Poems - Aaron Copland, John Ashbery
Sonnets to Orpheus 	 831.912  	 Literature/German & related literatures/German poetry/Duino Elegies - J. B. 1902-1963 Leishman, Stephen Spender, Hogarth Press, [Publisher], Rainer Maria Rilke
Storm for the Living and the Dead 	 811.54  	 Literature/American literature in English/American poetry in English/Storm For The Living And The Dead_ Uncollected And Unpublished Poems - Charles Bukowski, Abel Debritto
Surfacing 	 813.54  	 Literature/American literature in English/American fiction in English/Surfacing - Margaret Atwood
The Adding Machine 	 814.54  	 Literature/American literature in English/American essays in English/The Adding Machine_ Selected Essays - William S. Burroughs
The Answer 	 813.6  	 Literature/American literature in English/American fiction in English/The Ask And The Answer - Patrick Ness, Andrej Hiti Ožinger
The Birth of the War God 	 891.238  	 Literature/Other literatures/East Indo-European & Celtic literatures/The Birth Of The War-God,_ A Poem, Tr. From The Sanskrit Into English Verse, - Ralph T. H. 1826-1906 Griffith
The Book Thief 	 823.92  	 Literature/English & Old English literatures/English fiction/The Book Thief - Trudy White, Laura Martín de Dios, Markus Zusak, Alexandra Ernst
The Complete poems of Emily Dickenson 	 811.3  	 Literature/American literature in English/American poetry in English/The Complete Poems Of Emily Dickenson [I.E. Dickinson] - Emily Dickinson
The Complete Works of Rabindranath Tagore 	 823.8  	 Literature/English & Old English literatures/English fiction/Il Mastino Dei Baskerville - Arthur Conan Doyle
The divine Narcissus 	 862  	 Literature/Spanish & Portuguese literatures/Spanish drama/The Divine Narcissus =_ El Divino Narciso - Sister Juana Inés de la Cruz, Robin Ann Rice, Renée Domeier, Patricia A. Peters
The Epic of Gilgamesh 	 782.43  	 Arts & recreation/Music/Vocal music/The Epic Of Gilgamesh - Bohuslav Martinů
The Essential Ginsberg 	 811.54  	 Literature/American literature in English/American poetry in English/The Essential Ginsberg - Michael Schumacher, Allen Ginsberg
The haiku handbook 	 808.1  	 Literature/Literature, rhetoric & criticism/Rhetoric & collections of literature/The Haiku Handbook_ How To Write, Share, And Teach Haiku - Penny Harter, William J. Higginson
The Handmaid's Tale 	 813.54  	 Literature/American literature in English/American fiction in English/The Handmaid'S Tale - Renee Nault, Elsa Mateo, Margaret Atwood, Valerie Martin
The Homeric Hymns 	 883.01  	 Literature/Classical & modern Greek literatures/Classical Greek epic poetry & fiction/The Homeric Hymns - Diane J. Rayor, Michael Crudden, Homero, Apostolos N. Athanassakis
The Left Hand of Darkness 	 813.54  	 Literature/American literature in English/American fiction in English/The Left Hand Of Darkness - Neil Gaiman, Ursula K. Le Guin, Gisela Stege, Charlie Jane Anders
The Mahabharata A Shortened Modern Prose 	 294.5923  	 Religion/Other religions/Religions of Indic origin/The Mahabharata_ A Shortened Modern Prose Version Of The Indian Epic - R. K. Narayan, Wendy Doniger, R. K Laxman
The Orphic Hymns 	 292.38  	 Religion/Other religions/Greek & Roman religion/The Orphic Hymns -
The Poetry of Rainer Maria Rilke 	 831.91  	 Literature/German & related literatures/German poetry/Translations From The Poetry Of Rainer Maria Rilke - M. D. 1892-1985 Herter Norton, Rainer Maria Rilke
The Sandman Vol 1 Preludes and Nocturnes 	 741.5973  	 Arts & recreation/Drawing & decorative arts/Drawing & drawings/The Sandman_ Vol. 1,. Preludes &Amp; Nocturnes - Neil Gaiman
The selected prose of Fernando Pessoa 	 869.84108  	 Literature/Spanish & Portuguese literatures/Portuguese literature/The Selected Prose Of Fernando Pessoa - Fernando Pessoa, Richard Zenith
The unknown Kerouac 	 813.54  	 Literature/American literature in English/American fiction in English/The Unknown Kerouac_ Rare, Unpublished &Amp; Newly Translated Writings - Todd F. Tietchen, Jack Kerouac, Jean-Christophe Cloutier
Tortilla Flat 	 813.52  	 Literature/American literature in English/American fiction in English/Cannery Row - David S. Ward, John Steinbeck, Rudolf Frank, Nick Nolte
Twenty Love Poems and a Song of Despair 	 861  	 Literature/Spanish & Portuguese literatures/Spanish poetry/Twenty Love Poems And A Song Of Despair - W.S Merwin, Andy Warhol, Pablo Neruda
Tyrannosaurus lex 	 793.734  	 Arts & recreation/Sports, games & entertainment/Indoor games & amusements/Tyrannosaurus Lex_ The Marvelous Book Of Palindromes, Anagrams, And Other Delightful And Outrageous Wordplay - Rod L. Evans
Unseen Rain 	 891.5511 : Literature/Other literatures/East Indo-European & Celtic literatures/Rumi_ The Big Red Book  	 The Great Masterpiece Celebrating Mystical Love And Friendship - A. J. 1905-1969 Arberry, Maulana Jalāl al-Dīn Rūmī, Hasan Javadi, Ehsan Yarshater
Velveteen Rabbit 	 813  	 Literature/American literature in English/American fiction in English/The Velveteen Rabbit, Or, How Toys Become Real - Margery Williams Bianco, Michael Green, Michael Hague, William Nicholson
Wait Till I’m Dead 	 811.54  	 Literature/American literature in English/American poetry in English/Wait Till I'M Dead_ Uncollected Poems - Bill Morgan, Rachel Zucker, Allen Ginsberg
War of the Foxes 	 811.6  	 Literature/American literature in English/American poetry in English/War Of The Foxes - Richard Siken
White Oleander 	 813.54  	 Literature/American literature in English/American fiction in English/White Oleander_ A Novel - Janet Fitch
