Ewha Korean 1-1 	 411.86 : Language/Linguistics/Writing systems/Ihwa Han'Gugŏ_ Ewha Korean,  	 3-2 =. English Version -
Farsi (Persian) for Beginners_ Mastering Conversational Farsi ( PDFDrive.com ) 	 491.55  	 Language/Other languages/East Indo-European & Celtic languages/Farsi (Persian) For Beginners_ Mastering Conversational Farsi - Saeid Atoofi, Maliheh Atoofi
Fiji-Hindi 	 491.4383421  	 Language/Other languages/East Indo-European & Celtic languages/Fiji Hindi_ A Basic Course And Reference Grammar - Rama Narayan, Rodney F. Moag
Fiji Hindi - English, English - Fiji Hindi Dictionary 	 491.437099611  	 Language/Other languages/East Indo-European & Celtic languages/Fiji Hindi-English, English-Fiji Hindi Dictionary - Susan Hobbs
Forensic-Linguistics 	 363.2522  	 Social sciences/Social problems & social services/Other social problems & services/Dimensions Of Forensic Linguistics - M. Teresa Turell, John Gibbons
French 	 823.8  	 Literature/English & Old English literatures/English fiction/Alice'S Adventures In Wonderland - John Tenniel, Helen Oxenbury, Lewis Carroll, Donald J. Gray
French-Routledge 	 332.03  	 Social sciences/Economics/Financial economics/Routledge French Dictionary Of Business, Commerce And Finance_ French - English, English - French = Routledge Dictionnaire Anglais Des Affaires, Du Commerce Et De La Finance -
Gagana Samoa_ A Samoan Language Coursebook 	 499.46282421  	 Language/Other languages/Austronesian & other languages/Gagana Sāmoa_ A Samoan Language Coursebook - Galumalemana Afeleti L. Hunkin
GENKI I_ An Integrated Course in Elementary Japanese 	 495.682421 : Language/Other languages/Languages of East & Southeast Asia/Shokyū Nihongo_ Genki : I = An Integrated Course In Elementary Japanese  	 Genki - Eri Banno
Gramática de uso del Español Teoría y práctica. Con solucionario. B1-B2 	 465 : Language/Spanish & Portuguese languages/Spanish grammar/Gramática De Uso Del Español_ Teoría Y Práctica : Con Solucionario  	 B1-B2 - Luis Aragonés
Gramática de uso del español_ Teoría y práctica_ Con solucionario. C1-C2 	 465 : Language/Spanish & Portuguese languages/Spanish grammar/Gramática De Uso Del Español_ Teoría Y Práctica : Con Solucionario  	 C1-C2 - Ramón Palencia, Luis Aragonés
Gray, Iain - Snake charming -- the musical Python-Springer (2017) 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Snake Charming_ The Musical Python - Iain Gray
Greek-Ancient 	 264.03  	 Religion/Christian organization, social work & worship/Public worship/The Book Of Common Prayer, And Administration Of The Sacraments And Other Rites And Ceremonies Of The Church, According To The Use Of The United Church Of England And Ireland ; Together With The Psalter, Or Psalms Of David, In Eight Languages ; Namely, English, French, Italian, German, Spanish, Greek, Ancient And Modern, Latin ... [Et Al.] - Church of England
Greek-Script 	 686.218  	 Technology/Manufacture for specific uses/Printing & related activities/Aldus Manutius And The Development Of Greek Script &Amp; Type In The Fifteenth Century - Nicolas Barker
Gullah culture in America 	 975.00496073  	 History & geography/History of North America/Southeastern United States/Gullah Culture In America - Wilbur Cross
Hands-On RESTful API Design Patterns and Best Practices 	 005.3  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Hands-On RESTful API Design Patterns And Best Practices_ Design, Develop, And Deploy Highly Adaptable, Scalable, And Secure RESTful Web APIs - Pethuru Raj, Harihara Subramanian
Hausa 	 787.20966  	 Arts & recreation/Music/Stringed instruments/Fiddling In West Africa_ Touching The Spirit In Fulbe, Hausa, And Dagbamba Cultures - Jacqueline Cogdell DjeDje
Hawaiian 	 996.9  	 History & geography/History of other areas/Other parts of Pacific; Polynesia/Shoal Of Time;_ A History Of The Hawaiian Islands - Gavan Daws
Hebrew-Grammar 	 492.4  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Gesenius' Hebrew Grammar, - Wilhelm Gesenius, E. 1841-1910 Kautzsch, Emil Roediger, A. E. 1861-1931 Cowley
Hebrew-Routledge 	 492.45  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Morphophonemics Of Modern Hebrew (Routledge Revivals) - Noam Chomsky
Hindi in Three months 	 491.4382421  	 Language/Other languages/East Indo-European & Celtic languages/Hindi In Three Months - Mark Allerton
HTML & CSS The Good Parts (Animal Guide) 	 006.74  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/HTML &Amp; CSS_ The Good Parts - Ben Henick
Icelandic 	 843.8  	 Literature/French & related literatures/French fiction/A Journey To The Centre Of The Earth - James Hynes, Lars Hokanson, Jules Verne, Robert Baldick
Igbo 	 261.096  	 Religion/Christian organization, social work & worship/Social theology/Inculturation As Dialogue_ Igbo Culture And The Message Of Christ - Chibueze C. Udeani, Inc Ebrary
Introduction.to.Computation.and.Programming.Using.Python 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Introduction To Computation And Programming Using Python_ With Application To Understanding Data - John V. Guttag
Iontenwennaweienstahkhwa_. Mohawk Spelling Dictionary 	 497.5  	 Language/Other languages/North American native languages/Iontenwennaweienstahkhwa'_ Mohawk Spelling Dictionary - Marianne Mithun
Japanese for Busy People 	 495.683421  	 Language/Other languages/Languages of East & Southeast Asia/Japanese For Busy People II - Kokusai Nihongo Fukyū Kyōkai (Japan) [Author; Issuing body; Editor; Other]
